Rank,Ticker,Current Price (INR),52W High (INR),52W Low (INR),Drop from 52W High (%),EMA10,EMA20,EMA50,Sharpe Ratio,Sortino Ratio,Volatility (%),Max Drawdown (%),Nash Score,MC Profit Prob (%),MC Expected Return (%),MC VaR 95% (%),Kelly % (Position Size),Risk-Reward Ratio,Quant Score (0-100),Price vs EMA10
1,IZMO,783.75,1374.7,229.7,42.99,809.82,787.74,779.81,1.79,4.04,68.3,-55.69,54.66,71.8,17.99,-20.25,6.31,1.07,75.8,Below
2,VIVIMEDLAB,7.7,29.4,4.95,73.81,7.74,7.96,8.61,0.72,11.64,443.64,-74.44,94.4,30.3,56.91,-97.96,0.0,7.89,64.65,Below
3,VISASTEEL,38.3,73.68,28.2,48.02,38.2,38.86,42.47,0.34,0.67,52.76,-50.24,90.59,51.9,2.39,-25.72,0.0,3.5,52.86,Above
4,TATAINVEST,658.95,1184.7,568.29,44.38,664.02,657.02,671.19,0.25,0.43,41.67,-43.13,92.58,49.9,1.35,-21.16,1.22,5.8,49.55,Below
5,INSECTICID,629.75,1094.36,568.11,42.45,622.57,624.16,645.9,0.26,0.36,34.59,-44.69,93.04,51.5,1.22,-17.72,0.94,7.54,49.53,Above
6,KAUSHALYA,858.05,1841.9,787.8,53.41,845.79,844.74,867.82,0.06,0.12,50.12,-53.94,94.48,48.9,1.28,-25.63,0.55,14.0,44.8,Above
7,ONESOURCE,1292.8,2248.0,1057.0,42.49,1283.27,1300.84,1432.67,0.04,0.05,47.14,-49.31,90.61,50.4,0.84,-24.05,0.29,4.05,43.25,Above
8,VIJIFIN,2.1,4.6,1.99,54.35,2.19,2.28,2.48,-0.01,-0.01,62.77,-56.3,90.02,48.8,1.78,-29.36,0.0,22.73,41.43,Below
9,SGL,12.17,20.79,10.04,41.46,12.23,12.14,12.35,0.01,0.02,56.56,-42.57,91.05,45.5,0.51,-27.49,0.0,4.05,41.2,Below
10,DIGISPICE,19.9,35.5,17.09,43.94,19.94,20.27,21.55,-0.09,-0.17,54.52,-41.3,93.51,47.6,0.35,-27.41,0.0,5.55,39.71,Below
11,COUNCODOS,5.13,11.92,4.6,56.96,5.2,5.22,5.45,-0.09,-0.23,57.67,-57.89,94.44,45.9,-0.17,-29.53,0.0,12.81,38.88,Below
12,PRABHA,178.2,315.9,146.47,43.59,173.1,169.28,173.6,-0.25,-0.5,48.24,-52.01,86.78,44.8,-0.66,-25.33,0.0,4.34,31.95,Above
13,SHYAMTEL,10.31,19.74,9.11,47.77,10.27,10.36,11.01,-0.39,-0.67,50.07,-50.03,94.71,45.3,-0.88,-25.77,0.0,7.86,31.37,Above
14,GATECH,0.5,1.21,0.44,58.68,0.5,0.5,0.52,-0.36,-0.81,64.42,-58.56,96.76,43.4,-2.26,-33.24,0.0,11.83,30.3,Above
15,KELLTONTEC,19.87,33.15,14.6,40.06,19.11,18.3,18.11,-0.25,-0.42,53.14,-53.69,76.23,42.2,-1.31,-28.7,0.0,2.52,28.82,Above
16,TARIL,296.08,593.75,224.05,50.13,292.7,282.67,286.6,-0.4,-0.63,60.59,-60.0,89.92,40.3,-2.8,-32.61,0.0,4.13,28.8,Above
17,BALPHARMA,75.62,127.02,65.7,40.46,75.84,74.31,73.73,-0.47,-0.75,41.34,-44.94,92.95,42.0,-2.13,-23.69,0.0,5.18,28.29,Below
18,SWSOLAR,201.8,348.9,176.6,42.16,205.23,203.07,205.86,-0.46,-0.86,45.89,-45.9,90.75,39.9,-2.05,-24.76,0.0,5.84,26.02,Below
19,DCMFINSERV,4.43,9.21,3.8,51.9,4.48,4.51,4.76,-0.53,-0.97,45.48,-54.44,93.24,39.6,-2.68,-24.82,0.0,7.59,24.86,Below
20,SKFINDIA,1820.2,5074.0,1636.0,64.13,1772.21,1760.27,1862.25,-0.85,-0.68,60.72,-66.63,92.58,39.2,-4.44,-33.8,0.0,17.66,24.25,Above
21,JYOTISTRUC,12.08,22.18,7.94,45.54,11.84,11.21,10.75,-0.4,-0.82,57.85,-63.25,78.78,42.0,-1.54,-30.35,0.0,2.44,24.03,Above
22,ALMONDZ,15.92,27.93,12.89,43.0,15.5,15.42,15.9,-0.52,-0.93,53.91,-48.64,86.69,40.1,-3.13,-29.03,0.0,3.96,23.61,Above
23,PAVNAIND,23.01,46.96,16.24,51.0,23.28,22.47,23.24,-0.53,-0.9,66.62,-62.88,88.8,36.7,-3.9,-34.06,0.0,3.54,23.39,Below
24,KRITI,85.27,177.51,72.0,51.96,83.41,82.76,85.08,-0.58,-1.13,46.4,-58.35,90.6,40.6,-2.79,-24.49,0.0,6.95,22.27,Above
25,TTL,9.61,16.61,6.42,42.15,9.68,9.34,8.98,-0.41,-0.99,49.05,-57.53,77.96,41.9,-2.53,-27.74,0.0,2.2,21.94,Below
26,JNKINDIA,238.22,419.14,200.92,43.17,242.22,239.1,238.83,-0.58,-1.15,48.67,-48.95,89.8,39.8,-3.01,-26.89,0.0,4.85,21.55,Below
27,SALZERELEC,658.9,1163.99,528.0,43.39,655.62,644.49,651.96,-0.62,-1.17,51.99,-51.17,90.77,40.0,-2.95,-29.85,0.0,3.86,21.3,Above
28,RPPL,17.31,29.34,15.39,41.0,17.28,17.25,17.58,-0.77,-1.31,48.15,-43.91,94.18,39.2,-3.56,-27.23,0.0,6.27,19.27,Above
29,INDOTECH,1553.0,2787.4,1148.0,44.28,1452.82,1424.54,1460.28,-0.55,-1.1,52.34,-56.17,77.22,40.9,-2.31,-28.39,0.0,3.05,18.94,Above
30,LAGNAM,75.48,138.1,64.6,45.34,75.01,74.34,73.72,-0.66,-1.42,44.87,-47.1,92.83,39.1,-3.03,-26.59,0.0,5.76,18.82,Above
31,MARALOVER,45.16,82.15,36.57,45.03,45.84,44.82,44.3,-0.79,-1.32,49.95,-52.94,89.46,36.1,-4.46,-28.27,0.0,4.31,16.6,Below
32,SHRADHA,38.33,83.0,34.65,53.82,38.98,38.96,39.77,-0.8,-1.48,53.97,-54.93,93.55,35.0,-5.47,-32.06,0.0,12.14,15.73,Below
33,ORIENTLTD,61.98,110.4,58.51,43.86,61.82,62.74,67.68,-0.95,-1.55,33.58,-41.2,96.79,38.0,-2.82,-20.0,0.0,13.95,15.52,Above
34,NITIRAJ,212.65,418.76,169.99,49.22,198.66,193.06,189.51,-0.74,-1.3,45.85,-55.71,79.99,38.8,-2.96,-25.03,0.0,4.83,15.26,Above
35,UTKARSHBNK,14.63,28.0,12.96,47.75,14.18,14.07,14.56,-1.05,-1.36,48.43,-51.11,89.45,33.4,-5.9,-29.4,0.0,8.01,12.79,Above
36,DGCONTENT,27.46,59.28,23.52,53.68,27.61,27.79,29.39,-1.04,-1.72,50.86,-55.02,94.5,37.3,-4.87,-31.14,0.0,8.08,11.98,Below
37,TIPSFILMS,363.6,666.0,330.8,45.41,381.41,383.34,393.73,-0.83,-1.82,46.82,-46.41,86.29,37.4,-3.68,-27.13,0.0,9.22,10.62,Below
38,BLUEJET,399.75,1026.0,352.55,61.04,391.64,406.14,455.79,-1.24,-1.77,50.38,-64.71,93.14,32.6,-6.47,-30.86,0.0,13.27,7.61,Above
39,TREEHOUSE,9.23,16.2,6.19,43.02,8.47,8.16,8.0,-0.85,-1.41,48.51,-57.36,64.28,36.3,-4.05,-26.76,0.0,2.29,7.57,Above
40,SAPPHIRE,214.37,368.0,179.4,41.75,216.22,214.87,222.62,-1.07,-2.02,36.64,-47.18,90.86,37.2,-3.83,-22.56,0.0,4.39,7.48,Below
41,SUNCLAY,1353.2,2538.1,1112.8,46.68,1340.22,1317.47,1302.86,-1.24,-1.92,40.26,-54.22,91.34,32.7,-5.16,-25.86,0.0,4.93,5.62,Above
42,SUYOG,656.1,1139.66,528.0,42.43,650.17,631.1,623.74,-1.2,-2.47,41.31,-51.43,89.82,34.7,-5.11,-26.11,0.0,3.77,0.6,Above
43,UDS,163.71,356.0,146.45,54.01,159.86,160.4,169.14,-1.54,-2.65,41.07,-56.57,92.0,28.4,-6.49,-27.02,0.0,11.14,-5.78,Above
44,IITL,132.9,323.0,120.2,58.85,130.3,133.64,145.14,-1.81,-2.5,45.1,-60.64,93.58,23.9,-9.11,-31.0,0.0,14.97,-7.81,Above
45,FMNL,8.12,19.43,7.3,58.21,8.34,8.31,8.65,-1.55,-3.04,49.32,-61.69,91.94,28.3,-8.02,-31.97,0.0,13.79,-9.79,Below
46,GEMAROMA,196.23,349.6,133.0,43.87,193.71,188.07,180.95,-1.51,-3.06,57.44,-57.8,80.01,26.8,-9.07,-35.0,0.0,2.43,-13.69,Above
47,RACE,112.2,297.45,98.25,62.28,117.34,116.76,127.36,-1.96,-3.7,46.5,-65.33,88.04,25.5,-8.74,-31.54,0.0,13.28,-22.59,Below
48,FLEXITUFF,10.19,42.21,9.03,75.86,10.04,10.25,11.84,-2.35,-4.46,49.62,-78.15,95.61,20.2,-12.73,-35.12,0.0,27.6,-33.37,Above
49,VLEGOV,13.89,65.04,11.6,78.64,14.55,14.71,16.86,-2.38,-4.74,58.63,-81.66,88.79,18.2,-15.71,-42.62,0.0,22.34,-39.09,Below
50,REGAAL,68.35,145.7,57.27,53.09,62.92,62.66,66.78,-3.12,-5.81,39.97,-55.4,79.11,13.1,-13.14,-30.46,0.0,6.98,-61.64,Above
51,HILINFRA,55.55,131.4,49.49,57.72,55.88,55.44,57.7,-3.88,-6.17,37.54,-59.97,95.86,8.3,-15.51,-32.21,0.0,12.52,-69.3,Below
52,BLUECHIP,2.71,7.71,2.19,64.85,2.63,2.6,2.8,-5.4,-10.44,18.31,-70.62,90.14,3.8,-10.6,-19.58,0.0,9.62,-130.14,Above
